 ,baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
11797,299.933,30.352,1958.244,657.743,1.867,1.106,4.395,2.604,3.500,4.082,13.481,0.828,0.488,0.941,0.569,2.217,1.340,1.295,1
11798,313.289,104.849,1836.281,657.942,0.647,0.596,1.524,1.404,1.464,2.589,27.274,0.183,0.200,0.201,0.132,0.473,0.311,0.283,1
11799,320.236,71.079,1484.714,660.841,0.799,0.678,1.882,1.597,1.739,2.627,22.679,0.261,0.243,0.276,0.209,0.649,0.492,0.407,1
11800,304.848,69.658,72.848,664.747,0.699,0.753,1.645,1.774,1.709,2.598,22.761,0.252,0.257,0.220,0.264,0.518,0.622,0.405,1
11801,315.328,36.021,930.531,666.807,0.937,1.237,2.207,2.913,2.560,3.443,18.475,0.476,0.630,0.521,0.673,1.228,1.584,1.002,1
11802,318.672,44.175,702.840,668.805,0.586,1.106,1.380,2.605,1.993,3.276,25.045,0.447,0.641,0.348,0.660,0.820,1.554,0.879,1
11803,302.287,59.838,2019.764,671.427,0.892,1.146,2.100,2.699,2.400,3.060,17.961,0.268,0.344,0.282,0.364,0.665,0.857,0.542,1
11804,313.305,50.835,778.790,679.122,1.003,0.706,2.362,1.663,2.013,2.386,17.151,0.354,0.267,0.365,0.229,0.861,0.540,0.508,1
11805,316.146,45.229,1019.848,681.424,0.752,1.117,1.770,2.629,2.200,2.687,17.662,0.312,0.448,0.292,0.467,0.687,1.100,0.648,1
11806,323.969,42.358,1337.603,688.635,1.261,1.179,2.969,2.777,2.873,3.167,13.786,0.410,0.384,0.450,0.422,1.060,0.993,0.726,1
11807,317.865,37.654,1632.820,690.025,2.028,1.707,4.776,4.019,4.398,5.816,10.346,0.543,0.457,0.736,0.643,1.733,1.513,1.150,1
11808,307.104,52.906,1885.582,692.309,1.925,0.908,4.533,2.139,3.336,3.337,13.361,0.485,0.226,0.540,0.256,1.271,0.603,0.703,1
11809,313.947,47.675,1647.114,693.737,1.391,0.452,3.275,1.065,2.170,2.956,76.130,0.691,0.787,0.712,0.744,1.678,1.752,1.213,1
11810,309.244,36.788,128.023,697.249,0.904,0.664,2.128,1.564,1.846,3.142,26.795,0.648,0.511,0.643,0.523,1.514,1.230,0.975,1
11811,299.130,62.619,2019.108,699.552,0.893,0.608,2.102,1.433,1.768,2.840,40.277,0.364,0.221,0.362,0.486,0.852,1.144,0.713,1
11812,310.884,42.830,1661.721,700.881,1.127,0.842,2.653,1.983,2.318,2.669,16.323,0.436,0.329,0.458,0.327,1.078,0.769,0.662,1
11813,314.314,71.414,1415.583,702.385,0.746,0.571,1.757,1.344,1.550,2.524,47.728,0.266,0.235,0.333,0.441,0.785,1.037,0.651,1
11814,316.237,51.699,974.317,705.322,0.607,0.936,1.430,2.205,1.818,2.389,25.716,0.276,0.374,0.355,0.388,0.836,0.914,0.619,1
11815,315.407,57.110,575.188,710.496,1.037,0.621,2.441,1.462,1.951,2.835,34.883,0.412,0.212,0.425,0.475,1.000,1.119,0.751,1
11816,308.998,41.324,199.171,712.984,1.289,0.883,3.034,2.079,2.556,2.544,13.673,0.432,0.298,0.459,0.302,1.082,0.712,0.647,1
11817,319.836,28.463,1432.537,716.164,1.585,1.032,3.733,2.430,3.081,3.848,15.600,0.869,0.565,0.958,0.628,2.256,1.478,1.349,1
11818,314.441,36.023,1767.710,740.371,1.222,1.020,2.878,2.403,2.640,3.222,16.258,0.551,0.460,0.592,0.497,1.394,1.170,0.910,1
11819,316.079,69.542,258.030,790.313,0.809,0.568,1.906,1.338,1.622,2.646,36.785,0.311,0.278,0.286,0.359,0.674,0.845,0.541,1
11820,317.837,49.133,824.678,792.761,0.535,0.944,1.259,2.224,1.741,2.835,48.440,0.448,0.512,0.609,0.524,1.433,1.235,0.946,1
11821,317.117,61.709,898.058,810.032,1.005,0.643,2.366,1.514,1.940,2.597,18.768,0.334,0.249,0.341,0.179,0.803,0.423,0.454,1
11822,316.679,34.268,745.206,826.961,1.101,1.273,2.594,2.998,2.796,3.200,14.615,0.470,0.543,0.513,0.592,1.207,1.394,0.922,1
11823,320.732,54.833,518.688,830.488,0.938,0.838,2.209,1.972,2.091,2.844,20.558,0.341,0.301,0.358,0.342,0.843,0.805,0.583,1
11824,318.272,48.892,413.666,843.081,0.950,1.042,2.236,2.453,2.345,2.786,16.767,0.325,0.357,0.346,0.374,0.814,0.882,0.600,1
11825,319.830,98.705,1861.976,868.865,0.497,0.728,1.170,1.714,1.442,2.536,22.043,0.252,0.203,0.132,0.178,0.311,0.418,0.261,1
11826,323.671,48.061,1036.300,870.734,1.004,0.799,2.364,1.882,2.123,2.917,20.374,0.423,0.338,0.441,0.356,1.039,0.838,0.668,1
11827,310.969,74.519,207.145,872.678,1.025,0.446,2.414,1.051,1.732,3.109,172.187,0.440,0.750,0.448,0.932,1.055,2.196,1.218,1
11828,327.379,59.481,963.253,878.275,1.133,0.612,2.667,1.441,2.054,2.416,20.840,0.351,0.221,0.362,0.246,0.854,0.579,0.516,1
11829,318.995,43.918,919.233,895.285,1.004,0.741,2.364,1.745,2.055,2.518,18.766,0.420,0.312,0.435,0.340,1.024,0.800,0.650,1
11830,320.123,41.181,1170.445,914.568,0.832,0.944,1.960,2.224,2.092,2.651,19.208,0.371,0.425,0.422,0.451,0.993,1.063,0.727,1
11831,317.813,37.759,1780.625,917.968,0.850,1.286,2.001,3.028,2.514,3.030,17.162,0.377,0.575,0.423,0.610,0.997,1.438,0.875,1
11832,320.877,39.601,1162.171,922.097,1.958,1.211,4.612,2.851,3.731,3.964,11.592,0.576,0.350,0.682,0.421,1.606,0.991,0.944,1
