 ,baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
1631,301.764,32.333,121.897,1742.945,0.793,1.154,1.868,2.718,2.293,3.317,20.573,0.530,0.754,0.502,0.790,1.182,1.859,1.102,7
1632,303.368,49.032,372.908,1742.610,0.853,0.922,2.009,2.171,2.090,2.478,17.317,0.307,0.327,0.301,0.348,0.710,0.820,0.542,7
1633,304.267,37.118,546.327,1746.980,1.020,1.507,2.401,3.550,2.975,2.966,12.595,0.345,0.511,0.383,0.561,0.902,1.320,0.799,7
1634,299.569,72.379,1877.036,1757.398,1.088,0.649,2.562,1.528,2.045,2.911,27.646,0.330,0.189,0.341,0.303,0.802,0.714,0.537,7
1635,306.388,56.320,1568.808,1768.375,0.794,1.066,1.871,2.510,2.190,2.608,17.301,0.250,0.331,0.249,0.346,0.587,0.815,0.502,7
1636,309.766,35.264,801.297,1768.873,0.947,1.010,2.230,2.379,2.304,2.942,18.118,0.486,0.519,0.514,0.543,1.211,1.278,0.880,7
1637,314.974,41.228,1031.634,1773.764,0.863,0.990,2.033,2.332,2.182,2.829,19.035,0.391,0.452,0.427,0.471,1.005,1.110,0.748,7
1638,295.949,39.266,102.500,1797.791,1.096,1.267,2.581,2.983,2.782,3.067,14.140,0.394,0.456,0.431,0.496,1.014,1.169,0.774,7
1639,307.021,70.571,1003.297,1807.383,0.812,0.509,1.913,1.198,1.555,2.717,92.358,0.340,0.352,0.358,0.702,0.843,1.652,0.928,7
1640,294.908,36.897,1838.765,1814.714,1.145,1.693,2.695,3.986,3.340,3.536,12.138,0.376,0.556,0.434,0.631,1.022,1.485,0.901,7
1641,354.357,43.041,1657.572,1822.006,2.242,0.946,5.279,2.228,3.754,4.193,14.693,0.773,0.319,0.894,0.357,2.106,0.840,1.134,7
1642,298.830,42.596,1960.692,1830.659,1.346,0.986,3.169,2.322,2.745,3.310,15.908,0.502,0.367,0.542,0.401,1.277,0.943,0.794,7
1643,288.436,81.506,6.564,1843.722,0.515,0.966,1.213,2.275,1.744,2.450,86.767,0.178,0.283,0.577,0.292,1.360,0.687,0.762,7
1644,295.952,69.270,2030.849,1850.066,0.839,0.629,1.976,1.481,1.729,2.518,20.320,0.274,0.243,0.268,0.173,0.630,0.407,0.375,7
1645,338.285,44.779,1617.090,1859.507,1.109,0.958,2.612,2.256,2.434,3.763,21.542,0.531,0.458,0.562,0.494,1.324,1.164,0.881,7
1646,309.790,44.681,907.338,1867.479,0.659,1.371,1.552,3.227,2.389,2.966,21.707,0.286,0.582,0.380,0.609,0.894,1.435,0.845,7
1647,327.555,37.793,1533.682,1871.589,1.111,1.206,2.615,2.840,2.728,3.834,18.237,0.536,0.582,0.581,0.630,1.369,1.484,1.010,7
1648,327.106,42.537,1536.039,1878.635,1.172,0.955,2.761,2.249,2.505,2.909,15.997,0.439,0.357,0.467,0.385,1.101,0.908,0.713,7
1649,306.955,55.966,698.936,1886.796,0.983,0.748,2.316,1.761,2.038,2.716,19.701,0.352,0.274,0.360,0.268,0.849,0.632,0.529,7
1650,308.450,73.601,780.535,1912.106,0.486,1.190,1.144,2.803,1.974,2.415,135.765,0.155,0.353,0.847,0.365,1.996,0.860,1.087,7
1651,311.114,28.581,1455.158,1916.907,1.158,1.003,2.727,2.362,2.544,3.080,16.406,0.666,0.577,0.711,0.612,1.674,1.440,1.104,7
1652,301.692,51.441,1574.601,1935.822,0.909,1.496,2.142,3.523,2.833,2.956,14.048,0.245,0.405,0.275,0.438,0.647,1.031,0.608,7
1653,303.928,54.374,1188.889,1964.594,0.772,0.818,1.819,1.926,1.872,2.766,22.369,0.327,0.332,0.300,0.375,0.707,0.882,0.565,7
1654,306.016,117.237,1576.366,1971.511,0.436,0.816,1.028,1.923,1.475,2.607,285.046,0.539,0.222,0.869,0.253,2.045,0.595,1.065,7
1655,297.096,43.263,1304.343,1986.463,1.255,1.047,2.955,2.466,2.710,3.054,14.767,0.428,0.357,0.462,0.388,1.089,0.913,0.711,7
1656,299.322,47.684,1547.788,1986.324,1.132,1.631,2.665,3.842,3.253,3.549,12.876,0.305,0.440,0.347,0.495,0.818,1.166,0.712,7
1657,300.638,100.244,1158.659,2003.306,0.478,0.441,1.127,1.038,1.082,2.623,276.235,0.515,0.803,0.750,0.903,1.766,2.126,1.382,7
